gamma,size,recall
0.1,small,0.0
0.1,medium,0.0035211267605633804
0.1,large,0.06887052341597796
0.2,small,0.0
0.2,medium,0.017605633802816902
0.2,large,0.17079889807162535
0.3,small,0.0
0.3,medium,0.035211267605633804
0.3,large,0.2369146005509642
0.4,small,0.0
0.4,medium,0.04225352112676056
0.4,large,0.2727272727272727
0.5,small,0.0
0.5,medium,0.045774647887323945
0.5,large,0.2837465564738292
0.6,small,0.0
0.6,medium,0.056338028169014086
0.6,large,0.29201101928374656
0.7,small,0.0
0.7,medium,0.05985915492957746
0.7,large,0.29476584022038566
0.8,small,0.0
0.8,medium,0.056338028169014086
0.8,large,0.3002754820936639
0.9,small,0.0
0.9,medium,0.06338028169014084
0.9,large,0.30303030303030304
1.0,small,0.0
1.0,medium,0.06690140845070422
1.0,large,0.3002754820936639
1.1,small,0.0
1.1,medium,0.06690140845070422
1.1,large,0.2975206611570248
1.2,small,0.0
1.2,medium,0.056338028169014086
1.2,large,0.2865013774104683
1.3,small,0.0
1.3,medium,0.056338028169014086
1.3,large,0.27548209366391185
1.4,small,0.0
1.4,medium,0.0528169014084507
1.4,large,0.27823691460055094
1.5,small,0.0
1.5,medium,0.056338028169014086
1.5,large,0.2865013774104683
1.6,small,0.0
1.6,medium,0.0528169014084507
1.6,large,0.2809917355371901
1.7,small,0.0
1.7,medium,0.056338028169014086
1.7,large,0.2837465564738292
1.8,small,0.0
1.8,medium,0.056338028169014086
1.8,large,0.27823691460055094
